trade_date,ts_code,name,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-04-07,801120.SI,食品饮料,23549.84,23469.16,23742.67,23511.34,-93.56,-0.4,61812.0,2282924.0,34.9,6.79,261184964.0,626409519.3915
2023-04-10,801120.SI,食品饮料,23405.25,22839.23,23405.37,23231.07,-280.27,-1.19,89650.0,3805726.0,34.47,6.71,258071470.0,618700715.174954
2023-04-11,801120.SI,食品饮料,23274.83,22810.26,23274.91,22843.22,-387.85,-1.67,76657.0,3189050.0,33.89,6.6,253762988.0,609112443.245087
2023-04-12,801120.SI,食品饮料,22874.51,22266.35,22874.51,22295.41,-547.81,-2.4,83556.0,3767713.0,33.08,6.44,247677456.0,594776288.790595
2023-04-13,801120.SI,食品饮料,22255.51,22220.8,22532.1,22521.84,226.43,1.02,81737.0,2955067.0,33.42,6.51,250192818.0,600759464.905551
2023-04-14,801120.SI,食品饮料,22561.19,22248.15,22603.75,22289.7,-232.14,-1.03,78652.0,2638857.0,33.07,6.44,247585143.0,594835796.482111
2023-04-17,801120.SI,食品饮料,22452.42,22452.35,22769.4,22661.22,371.52,1.67,84454.0,3141418.0,33.62,6.54,251665685.0,604770221.200239
2023-04-18,801120.SI,食品饮料,22681.67,22628.11,22875.4,22764.55,103.33,0.46,101841.0,2897378.0,33.76,6.58,252804690.0,607769534.86748
2023-04-19,801120.SI,食品饮料,22788.29,22550.62,22788.29,22642.95,-121.6,-0.53,79630.0,2271536.0,33.59,6.54,251454297.0,604752710.571793
2023-04-20,801120.SI,食品饮料,22639.88,22261.43,22690.54,22362.99,-279.96,-1.24,83423.0,2473899.0,33.21,6.46,248345275.0,597072773.399001
2023-04-21,801120.SI,食品饮料,22413.28,22183.68,22537.26,22204.74,-158.25,-0.71,92015.0,2487203.0,32.96,6.41,246590478.0,592455994.368772
2023-04-24,801120.SI,食品饮料,22185.37,21804.89,22185.37,21859.55,-345.19,-1.55,87897.0,2814635.0,32.44,6.3,242767164.0,583987388.081062
2023-04-25,801120.SI,食品饮料,21917.25,21806.15,22168.99,22164.1,304.55,1.39,89826.0,2860544.0,32.81,6.37,246149481.0,591780319.34275
